"","name1","addr1","phone1"
"79","서초제일 (양재동)"," 서울 서초구 남부순환로356길 38-3 ","02-573-7391"
"80","진로 (본점)"," 서울시 서초구 서초동 ","02-520-3406"
"81","삼성전자 (서울)"," 서울 서초구 성촌길 34 ","-1588-7256"
"82","노원 (본점)"," 서울 노원구 한글비석로24길 7 ","02-936-6293"
"83","노원 (상계3동)"," 서울 노원구 덕릉로 780 ","02-936-6090"
"84","노원 (공릉)"," 서울 노원구 동일로 1066 ","02-972-0729"
"85","서울개인택시조합 (노원)"," 서울 노원구 동일로 1776 ","02-939-0597"
"86","성동우리 (본점)"," 서울 성동구 무학봉15길 2 ","02-2293-8869"
"87","성동우리 (뉴타운)"," 서울 성동구 마장로 137 ","02-2292-6625"
"88","왕십리중앙 (본점)"," 서울특별시 성동구 무학로6길 50 ","02-2292-0894"
"89","무지개 (본점)"," 서울특별시 성동구 행당로17길 24-1 ","02-2295-7053"
"90","무지개 (행당1동)"," 서울 성동구 고산자로6길 40 ","02-2294-5421"
"91","행당 (본점)"," 서울 성동구 행당로11길 3 ","02-2293-6584"
"92","성동중앙 (본점)"," 서울 성동구 독서당로51길 34-1 ","02-2291-6586"
"93","성동중앙 (응봉)"," 서울 성동구 독서당로 377 ","02-2293-3257"
"94","금호 (본점)"," 서울 성동구 금호산길 68 ","02-2238-6454"
"95","금호 (제1지점)"," 서울 성동구 장터길 49-1 ","02-2234-0552"
"96","서울금남 (본점)"," 서울특별시 성동구 독서당로 306-1 ","02-2298-1094"
"97","옥수동 (본점)"," 서울 성동구 독서당로 216 ","02-2297-3962"
"98","성수1가1동 (본점)"," 서울 성동구 성덕정길 57-1 ","02-463-4839"
"99","성수2가1동 (본점)"," 서울 성동구 성덕정길 116 ","02-463-3444"
"100","용답 (본점)"," 서울특별시 성동구 용답19길 17-1 ","02-2244-2393"
"101","성수 (본점)"," 서울특별시 성동구 상원길 53 ","02-466-4848"
"102","성수 (성수역)"," 서울 성동구 아차산로7길 16 ","02-468-4848"
"103","서울축산기업조합 (본점)"," 서울 성동구 동일로 125 ","02-469-9002"
"104","서울개인택시조합 (동부)"," 서울 성동구 마장로46길 20-1 ","02-2297-1144"
"105","성동 (본점)"," 서울 성동구 사근동길 54-1 ","02-2293-4750"
"106","성동 (한양)"," 서울 성동구 마조로5길 6 ","02-2293-4168"
"107","성동 (마장)"," 서울 성동구 마장로 302 ","02-2297-0304"
"108","세종 (본점)"," 서울 강남구 봉은사로114길 20 ","02-2145-9933"
"109","하이트맥주 (본점)"," 서울특별시 강남구 영동대로 714 ","02-3219-0294"
"110","서울개인택시조합 (강남)"," 서울 강남구 개포로 636 ","02-2057-0540"
"111","청담동 (본점)"," 서울 강남구 삼성로146길 6 ","02-542-3127"
"112","대왕 (본점)"," 서울 강남구 밤고개로34길 4 ","02-2226-6804"
"113","대왕 (일원)"," 서울 강남구 양재대로55길 15 ","02-2226-8284"
"114","강남대치 (본점)"," 서울특별시 강남구 선릉로64길 15 ","02-553-8996"
"115","강남영동 (본점)"," 서울 강남구 언주로134길 21 ","02-516-8900"
"116","유한킴벌리 (본점)"," 서울시 강남구 대치2동 ","02-528-2699"
"117","한국무역협회 (본점)"," 서울시 강남구 삼성1동무역센터트레이드타 ","02-6000-5088"
"118","포스코 (본점)"," 서울 강남구 테헤란로 440 ","02-3457-3861"
"119","동소문 (본점)"," 서울 성북구 동소문로 28-1 ","02-747-1561"
"120","동소문 (해오름)"," 서울 성북구 성북로4길 52 ","02-924-9355"
"121","삼선 (본점)"," 서울 성북구 아리랑로 16 ","02-742-3815"
"122","삼선 (삼선제1)"," 서울 성북구 삼선교로 40-1 ","02-742-2203"
"123","삼선 (삼선제2)"," 서울 성북구 보문로38길 11 ","02-926-3815"
